#,Set,Cue,Location,Descrip,Item
131,C,Cued,Below,HighFQ,door 
132,C,Cued,Below,HighFQ,machine 
133,C,Cued,Below,HighFQ,horse 
134,C,Cued,Below,HighFQ,tongue 
135,C,Cued,Below,HighFQ,kitchen 
136,C,Cued,Below,HighFQ,senator 
137,C,Cued,Below,HighFQ,captain 
138,C,Cued,Below,HighFQ,blood 
139,C,Cued,Below,HighFQ,mother 
140,C,Cued,Below,HighFQ,street 
141,C,Cued,Below,HighFQ,letter 
142,C,Cued,Below,HighFQ,plants 
143,C,Cued,Below,HighFQ,cousin 
144,C,Cued,Below,HighFQ,valley 
145,C,Cued,Below,LowFQ,parcel 
146,C,Cued,Below,LowFQ,sod 
147,C,Cued,Below,LowFQ,dime 
148,C,Cued,Below,LowFQ,pew 
149,C,Cued,Below,LowFQ,thugs 
150,C,Cued,Below,LowFQ,nylon 
151,C,Cued,Below,LowFQ,pecan 
152,C,Cued,Below,LowFQ,ravine 
153,C,Cued,Below,LowFQ,hearse 
154,C,Cued,Below,LowFQ,cashews 
155,C,Cued,Below,LowFQ,rivet 
156,C,Cued,Below,LowFQ,cleat 
157,C,Cued,Below,LowFQ,reels 
158,C,Cued,Below,LowFQ,beets 
159,C,Cued,Below,LowFQ,hornets 
160,C,Cued,Below,LowFQ,felon 
161,C,Cued,Below,Nonword,riddur 
162,C,Cued,Below,Nonword,nival 
163,C,Cued,Below,Nonword,jawels
164,C,Cued,Below,Nonword,reftar 
165,C,Cued,Below,Nonword,beebs
166,C,Cued,Below,Nonword,binji
167,C,Cued,Below,Nonword,shict 
168,C,Cued,Below,Nonword,sketes 
169,C,Cued,Below,Nonword,glust
170,C,Cued,Below,Nonword,frundis
171,C,Cued,Below,Nonword,lethir
172,C,Cued,Below,Nonword,cushows
173,C,Cued,Below,Nonword,trene
174,C,Cued,Below,Nonword,hurnits
175,C,Cued,Below,Nonword,squort
176,C,Cued,Below,Nonword,han
177,C,Cued,Below,Nonword,guskit
178,C,Cued,Below,Nonword,anivils
179,C,Cued,Below,Nonword,fuet
180,C,Cued,Below,Nonword,enguin
181,C,Cued,Below,Nonword,yalfow
182,C,Cued,Below,Nonword,ool
183,C,Cued,Below,Nonword,garpin
184,C,Cued,Below,Nonword,lipel 
185,C,Cued,Below,Nonword,melf 
186,C,Cued,Below,Nonword,hame
187,C,Cued,Below,Nonword,soquin 
188,C,Cued,Below,Nonword,elp
189,C,Cued,Below,Nonword,pircal 
190,C,Cued,Below,Nonword,teeshir
191,C,Cued,Below,Nonword,pupir
192,C,Cued,Below,Nonword,plints
193,D,Uncued,Below,HighFQ,money 
194,D,Uncued,Below,HighFQ,bills 
195,D,Uncued,Below,HighFQ,square 
196,D,Uncued,Below,HighFQ,coffee 
197,D,Uncued,Below,HighFQ,cattle 
198,D,Uncued,Below,HighFQ,yellow 
199,D,Uncued,Below,HighFQ,grass 
200,D,Uncued,Below,HighFQ,plane 
201,D,Uncued,Below,HighFQ,bones 
202,D,Uncued,Below,HighFQ,heart 
203,D,Uncued,Below,HighFQ,shoes 
204,D,Uncued,Below,HighFQ,man 
205,D,Uncued,Below,HighFQ,car 
206,D,Uncued,Below,HighFQ,radio 
207,D,Uncued,Below,HighFQ,growths 
208,D,Uncued,Below,HighFQ,market 
209,D,Uncued,Below,LowFQ,hanger 
210,D,Uncued,Below,LowFQ,ladle 
211,D,Uncued,Below,LowFQ,retina 
212,D,Uncued,Below,LowFQ,sequin 
213,D,Uncued,Below,LowFQ,ferns 
214,D,Uncued,Below,LowFQ,rudder 
215,D,Uncued,Below,LowFQ,elk 
216,D,Uncued,Below,LowFQ,gasket 
217,D,Uncued,Below,LowFQ,lapel 
218,D,Uncued,Below,LowFQ,quartz 
219,D,Uncued,Below,LowFQ,torpedo 
220,D,Uncued,Below,LowFQ,freckle 
221,D,Uncued,Below,LowFQ,shack 
222,D,Uncued,Below,LowFQ,snail 
223,D,Uncued,Below,LowFQ,armpit 
224,D,Uncued,Below,LowFQ,raccoon 
225,D,Uncued,Below,Nonword,pilvus 
226,D,Uncued,Below,Nonword,crefe
227,D,Uncued,Below,Nonword,tanic 
228,D,Uncued,Below,Nonword,michane
229,D,Uncued,Below,Nonword,bloof
230,D,Uncued,Below,Nonword,kalf
231,D,Uncued,Below,Nonword,rebits 
232,D,Uncued,Below,Nonword,cothin
233,D,Uncued,Below,Nonword,pon 
234,D,Uncued,Below,Nonword,cathain
235,D,Uncued,Below,Nonword,ificle
236,D,Uncued,Below,Nonword,hengar
237,D,Uncued,Below,Nonword,miggets 
238,D,Uncued,Below,Nonword,pline
239,D,Uncued,Below,Nonword,lufle
240,D,Uncued,Below,Nonword,hoart
241,D,Uncued,Below,Nonword,sneel 
242,D,Uncued,Below,Nonword,hudduck 
243,D,Uncued,Below,Nonword,walis
244,D,Uncued,Below,Nonword,fure
245,D,Uncued,Below,Nonword,witur
246,D,Uncued,Below,Nonword,bueker
247,D,Uncued,Below,Nonword,irmpat
248,D,Uncued,Below,Nonword,fulin
249,D,Uncued,Below,Nonword,valbey
250,D,Uncued,Below,Nonword,mirkat
251,D,Uncued,Below,Nonword,sedis
252,D,Uncued,Below,Nonword,islunt
253,D,Uncued,Below,Nonword,checkat
254,D,Uncued,Below,Nonword,pabbles 
255,D,Uncued,Below,Nonword,moath
256,D,Uncued,Below,Nonword,trustle]
