#,Set,Cue,Location,Descrip,Item
241,A,Uncued,Below,Nonword,scullap 
242,A,Uncued,Below,Nonword,brafe
243,A,Uncued,Below,Nonword,realt 
244,A,Uncued,Below,Nonword,cleef
245,A,Uncued,Below,Nonword,floot
246,A,Uncued,Below,Nonword,frickle
247,A,Uncued,Below,Nonword,shois
248,A,Uncued,Below,Nonword,farnt
249,A,Uncued,Below,Nonword,winfot
250,A,Uncued,Below,Nonword,deg
251,A,Uncued,Below,Nonword,sula 
252,A,Uncued,Below,Nonword,manef
253,A,Uncued,Below,Nonword,hirse
254,A,Uncued,Below,Nonword,litenst
255,A,Uncued,Below,Nonword,hirest
256,A,Uncued,Below,Nonword,catulf
